Model,Registration,TTAF,Price,Engine Hours,Maintenance Plan
2008 Gulfstream G450,,,"USD $16,250,000",,
2023 Gulfstream G280,,,,,
2013 Gulfstream G450,,,"USD $17,995,000",,
2006 Gulfstream G450,,,"USD $10,000,000",,
1994 Gulfstream IVSP,,,"USD $6,495,000",,
1988 Gulfstream IV,,,"USD $2,900,000",,
2010 Gulfstream G450,,,"USD $16,250,000",,
2014 Gulfstream G450,,,,9 Hrs.,
1992 Gulfstream IVSP,,,,,
1999 Gulfstream IVSP,,,,,
2001 Gulfstream IVSP,,,,,
2007 Gulfstream G450,,,"USD $14,995,000",,
2010 Gulfstream G450,,,"USD $13,500,000",,
2006 Gulfstream G450,,,"USD $14,995,000",,
2008 Gulfstream G450,,,,,
2013 Gulfstream G450,,,"USD $13,500,000",,
2014 Gulfstream G450,,,"USD $13,500,000",,
2000 Gulfstream IVSP,,,,,
2002 Gulfstream IVSP,,,,,
1994 Gulfstream IVSP,,,,,
2012 Gulfstream G450,,,"USD $15,950,000",,
2001 Gulfstream IVSP,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2014 Gulfstream I,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1983 Gulfstream III,,,,,
1993 Gulfstream G-IV,,,,,
1987 Gulfstream GIV,,,,,
1990 Gulfstream G-IV,,,,,
1999 Gulfstream G-IVSP,,,,,
1992 Gulfstream G-IVSP,,,,,
,,,,,
,,,,,
,,,,,
1989 Gulfstream IV,,,,,
,,,,,
,,,,,
,,,,,
1990 Gulfstream G-IV,,,,,
1991 Gulfstream G-IV,,,,,
,,,,,
2010 Gulfstream G200,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1981 Gulfstream GIII,,,,,
,,,,,
,,,,,
2014 Gulfstream I,,,,,
2014 Gulfstream E,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1990 Gulfstream GIV-SN,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,Make Offer,,
,,,"$5,500,000",,
,,,,,
,,,,,
1988 Gulfstream G-IV,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2013 Gulfstream 450,,,,,
,,,,,
,,,,,
,,,,,
8400 Gulfstream IVSP,,,,,
1999 Gulfstream GIVSP,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,654 Hrs.,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
