Model,Registration,TTAF,Price,Engine Hours,manufacture,model,year of manufacture,year_of_manufacture
1996 Gulfstream G-IVSP,N1925M,8433.0,,,Gulfstream,G-IVSP,1996,
1988 Gulfstream G-IV,N998GP,12068.0,,,Gulfstream,G-IV,1988,
1990 Gulfstream G-IV,N306TT,6499.0,,,Gulfstream,G-IV,1990,
2020 Gulfstream G500,9H,218.0,,,Gulfstream,,2020,
2013 Gulfstream G450,N273JG,2158.0,,,Gulfstream,G450,2013,
1998 Gulfstream G-IVSP,N905LP,8652.0,,,Gulfstream,G-IVSP,1998,
1987 Gulfstream G-IV,,12513.0,,,Gulfstream,G-IV,1987,
1984 Gulfstream G-III,N467AM,9810.0,,,Gulfstream,G-III,1984,
2000 Gulfstream G-IVSP,N9106,7926.0,,,Gulfstream,G-IVSP,2000,
1994 Gulfstream G-IVSP,N30GD,13098.0,5500000.0,,Gulfstream,G-IVSP,1994,
1996 Gulfstream G-IVSP,N610GW,8290.0,,,Gulfstream,G-IVSP,1996,
2001 Gulfstream G-IVSP,N888CS,6041.0,8995000.0,,Gulfstream,G-IVSP,2001,
1994 Gulfstream G-IVSP,N165JF,10948.0,,,Gulfstream,G-IVSP,1994,
2013 Gulfstream G450,S5,2446.0,,,Gulfstream,G450,2013,
1988 Gulfstream G-IV,XA,13553.0,,573 Hrs.,Gulfstream,G-IV,1988,
1996 Gulfstream G-IVSP,N555LK,13487.0,,,Gulfstream,G-IVSP,1996,
2002 Gulfstream G-IVSP,N500PC,8729.0,,,Gulfstream,G-IVSP,2002,
1994 Gulfstream G-IVSP,N999TR,8829.0,,,Gulfstream,G-IVSP,1994,
2001 Gulfstream G-IVSP,N883LD,8901.0,,,Gulfstream,G-IVSP,2001,
2020 Gulfstream GVII,M,358.0,,,Gulfstream,,2020,
2001 Gulfstream G-IVSP,N415MA,15275.0,6995000.0,,Gulfstream,G-IVSP,2001,
1988 Gulfstream G-IV,N163JW,14445.0,,,Gulfstream,G-IV,1988,
1996 Gulfstream G-IVSP,,10304.0,,,Gulfstream,G-IVSP,1996,
2012 Gulfstream G450,N888DC,4535.0,16950000.0,,Gulfstream,G450,2012,
1994 Gulfstream G-IVSP,,7288.0,5900000.0,,Gulfstream,G-IVSP,1994,
1989 Gulfstream G-IV,N2129,9809.0,,,Gulfstream,G-IV,1989,
1995 Gulfstream G-IVSP,N147X,7796.0,,,Gulfstream,G-IVSP,1995,
1989 Gulfstream G-IV,N763DB,14734.0,4500000.0,,Gulfstream,G-IV,1989,
1990 Gulfstream G-IV,N711GL,18878.0,3585000.0,,Gulfstream,G-IV,1990,
1990 Gulfstream G-IV,N188SA,,,,Gulfstream,G-IV,1990,
2007 Gulfstream G450,N470QS,12178.0,10995000.0,,Gulfstream,G450,2007,
2017 Gulfstream G450,N450FJ,1629.0,,,Gulfstream,G450,2017,
1988 Gulfstream G-IV,N144AB,13652.0,,,Gulfstream,G-IV,1988,
1994 Gulfstream G-IVSP,N445BJ,11055.0,,,Gulfstream,G-IVSP,1994,
1992 Gulfstream G-IVSP,N26DJ,11695.0,,,Gulfstream,G-IVSP,1992,
2002 Gulfstream G-IVSP,,6473.0,,,Gulfstream,G-IVSP,2002,
2012 Gulfstream G450,N702TR,2239.0,,,Gulfstream,G450,2012,
2014 Gulfstream G450,N451PW,2108.0,,,Gulfstream,G450,2014,
1996 Gulfstream G-IVSP,N555LK,14353.0,,,Gulfstream,G-IVSP,1996,
1997 Gulfstream G-IVSP,N137WS,11431.0,,,Gulfstream,G-IVSP,1997,
1988 Gulfstream G-IV,N995GG,12299.0,3495000.0,,Gulfstream,G-IV,1988,
2006 Gulfstream G450,N358RS,4462.0,,,Gulfstream,G450,2006,
1986 Gulfstream G-IV,N250RG,10988.0,2500000.0,,Gulfstream,G-IV,1986,
1995 Gulfstream G-IVSP,N888MF,9100.0,3500000.0,753 Hrs.,Gulfstream,G-IVSP,1995,
1990 Gulfstream G-IV,N306TT,6499.0,4950000.0,,Gulfstream,G-IV,1990,
2001 Gulfstream G-IVSP,N923CL,6953.0,6495000.0,,Gulfstream,G-IVSP,2001,
1998 Gulfstream G-IVSP,N450WG,13701.0,4995000.0,,Gulfstream,G-IVSP,1998,
2013 Gulfstream G450,B,2133.0,,,Gulfstream,G450,2013,
1994 Gulfstream G-IVSP,N779LD,9876.0,,,Gulfstream,G-IVSP,1994,
1988 Gulfstream G-IV,N995GG,12299.0,2900000.0,,Gulfstream,G-IV,1988,
1997 Gulfstream G-IVSP,N427SA,11620.0,,,Gulfstream,G-IVSP,1997,
1992 Gulfstream G-IVSP,N999AH,9570.0,,,Gulfstream,G-IVSP,1992,
1997 Gulfstream G-IVSP,N817RA,15139.0,,,Gulfstream,G-IVSP,1997,
2001 Gulfstream G-IVSP,N502PC,8833.0,6750000.0,,Gulfstream,G-IVSP,2001,
2000 Gulfstream G-IVSP,N401JS,10038.0,,,Gulfstream,G-IVSP,2000,
1990 Gulfstream G-IV,N188SA,14366.0,3200000.0,,Gulfstream,G-IV,1990,
1999 Gulfstream G-IVSP,N805FT,10714.0,,,Gulfstream,G-IVSP,1999,
2001 Gulfstream G-IVSP,N435HC,6132.0,,,Gulfstream,G-IVSP,2001,
